movie_name,open_date,distributor_boxoffice,boxoffice_years
그 여자의 죄가 아니다,,,2017|2019|2020|2022
청춘쌍곡선,19560410,,2017|2018|2022|2024|2025
멀리있는 그대와 가까이 있는 당신에게,,,2017
MSFF2017 사랑에 관한 짧은 필름 4,,,2017
2017 한국영화아카데미 33기 졸업영화제 - A,,,2017
2017 한국영화아카데미 33기 졸업영화제 - C,,,2017
2017 한국영화아카데미 33기 졸업영화제 - D,,,2017
2017 한국영화아카데미 33기 졸업영화제 - B,,,2017
격퇴,19560404,,2017
MSFF2017 사랑에 관한 짧은 필름 2,,,2017
이 생명 다하도록,,,2017|2018|2022|2023
MSFF2017 4만번의 구타 1,,,2017
MSFF2017 비정성시 3,,,2017
안녕 자두야 스페셜 : 인어공주,,,2017
MSFF2017 사랑에 관한 짧은 필름 1,,,2017
피아골,19550923,,2017|2019|2020|2021|2022|2023|2024
MSFF2017 사랑에 관한 짧은 필름 3,,,2017
MSFF2017 희극지왕 2,,,2017
MSFF2017 4만번의 구타 2,,,2017
MSFF2017 비정성시 4,,,2017
아파트 생태계,,,2017|2018|2019|2022
MSFF2017 비정성시 2,,,2017
MSFF2017 희극지왕 1,,,2017
암행어사와 흑두건,,,2017|2018|2019|2020|2021
DIMA 방송보도제작과 영상제 ‘추억이 오네요’ 2부,,,2017
여사장,,,2017|2018|2019|2020|2021|2022|2023|2024
MSFF2017 희극지왕 3,,,2017
MSFF2017 비정성시 1,,,2017
아가씨 참으세요,19810919,,2017|2019
아리랑아,,,2017
콕!애니 - [섹션1] Between : 너와 나의 사이,,,2017
SIFF2017-경쟁단편 4,,,2017
물속에서 숨 쉬는 법,,,2017|2018|2019|2020
MSFF2017 절대악몽 1,,,2017
