movie_name,open_date,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,rep_nation,nation,distributor_boxoffice,boxoffice_year_count,boxoffice_years,match_key
미용실 : 특별한 서비스 6 무삭제,20230321,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,미용실 : 특별한 서비스 6 무삭제|20230321
수지의전라실제정사-무삭제,20230322,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,수지의전라실제정사-무삭제|20230322
카페여사장의배달섹스,20230324,1000,1,1,1,0,한국,한국,에이원 미디어,1,2023,카페여사장의배달섹스|20230324
귀신이 싼다,20230331,6000,1,1,1,0,한국,한국,영드래곤 미디어,1,2023,귀신이 싼다|20230331
커밍아웃 내 여자의 여자,20230414,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,커밍아웃 내 여자의 여자|20230414
골프걸 두개의 구멍,20230329,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,골프걸 두개의 구멍|20230329
소원을 빨아봐,20230404,6000,1,1,1,0,한국,한국,SDM스튜디오,1,2023,소원을 빨아봐|20230404
구멍 공동체,20230623,6000,1,1,1,0,한국,한국,솔앤드 주식회사,1,2023,구멍 공동체|20230623
중년부부 스와핑 워크샵,20230414,1000,1,1,1,0,한국,한국,(주)아이피큐,1,2023,중년부부 스와핑 워크샵|20230414
청순한연지의은밀한알몸섹스,20230424,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,청순한연지의은밀한알몸섹스|20230424
하드코어1233,20230720,6000,1,1,1,0,한국,한국,솔앤드 주식회사,1,2023,하드코어1233|20230720
본능적인 짝짓기,20230413,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,본능적인 짝짓기|20230413
은밀한 하숙집,20230413,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,은밀한 하숙집|20230413
창녀를 사랑한 남자,20230519,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,창녀를 사랑한 남자|20230519
이 구역 섹스에 미친X,20230519,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,이 구역 섹스에 미친X|20230519
색녀가 된 시누이와 올케,20230817,6000,1,1,1,0,한국,한국,솔앤드 주식회사,1,2023,색녀가 된 시누이와 올케|20230817
자매의젖은성감대-무삭제,20230426,1000,1,1,1,0,한국,한국,스마일컨텐츠,1,2023,자매의젖은성감대-무삭제|20230426
하숙집 딸내미들,20230427,6000,1,1,1,0,한국,한국,(주)이십일세기미디어,1,2023,하숙집 딸내미들|20230427
발정난 인싸 자매,20230427,6000,1,1,1,0,한국,한국,(주)이십일세기미디어,1,2023,발정난 인싸 자매|20230427
아지매의 뒷문 단속,20230427,6000,1,1,1,0,한국,한국,(주)이십일세기미디어,1,2023,아지매의 뒷문 단속|20230427
골프 서비스,20230428,1000,1,1,1,0,한국,한국,노바엔터테인먼트,1,2023,골프 서비스|20230428
젖 큰 자매들 2,20230426,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,젖 큰 자매들 2|20230426
쾌락의 오피스 아내,20230502,6000,1,1,1,0,한국,한국,(주)코빈커뮤니케이션즈,1,2023,쾌락의 오피스 아내|20230502
내 여자친구의 엄마,20230502,6000,1,1,1,0,한국,한국,(주)코빈커뮤니케이션즈,1,2023,내 여자친구의 엄마|20230502
동생아내 : 난봉꾼 아주버님,20230721,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,동생아내 : 난봉꾼 아주버님|20230721
사모님 빨아먹는 장과장,20230914,6000,1,1,1,0,한국,한국,솔앤드 주식회사,1,2023,사모님 빨아먹는 장과장|20230914
여기가 바로 섹스민박,20230516,6000,1,1,1,0,한국,한국,주식회사 바나나픽쳐스,1,2023,여기가 바로 섹스민박|20230516
연상의 맛 2,20230510,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,연상의 맛 2|20230510
기둥서방 내사랑 사위,20230515,6000,1,1,1,0,한국,한국,(주)코빈커뮤니케이션즈,1,2023,기둥서방 내사랑 사위|20230515
대물선배와 쓰리섬,20230504,1000,1,1,1,0,한국,한국,주식회사 루믹스미디어,1,2023,대물선배와 쓰리섬|20230504
내 아내를 임신시켜줘,20230518,6000,1,1,1,0,한국,한국,주식회사 원스크린,1,2023,내 아내를 임신시켜줘|20230518
불량탐정 레거시,20230413,6000,1,1,1,0,한국,한국,(주)룬컴퍼니,1,2023,불량탐정 레거시|20230413
미용실 : 특별한 서비스 6,20230111,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,미용실 : 특별한 서비스 6|20230111
몸빵녀 무삭제,20230227,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,몸빵녀 무삭제|20230227
엄마친구 8 무삭제,20230213,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,엄마친구 8 무삭제|20230213
빨아주는 여자,20230217,6000,1,1,1,0,한국,한국,(주)룬컴퍼니,1,2023,빨아주는 여자|20230217
매력적인 장모님 2 무삭제,20230102,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,매력적인 장모님 2 무삭제|20230102
2대1 섹스 배달부 무삭제,20230116,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,2대1 섹스 배달부 무삭제|20230116
흑형 : 특별한 영어 수업 무삭제,20230216,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,흑형 : 특별한 영어 수업 무삭제|20230216
2대1 여친 팔아먹기 무삭제,20230129,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,2대1 여친 팔아먹기 무삭제|20230129
형수의 딸: 어차피 남이야,20230512,6000,1,1,1,0,한국,한국,(주)담화,1,2023,형수의 딸: 어차피 남이야|20230512
2대2 할래? 무삭제,20230326,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,2대2 할래? 무삭제|20230326
하숙집 : 그녀들의 신음소리 3 무삭제,20230603,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,하숙집 : 그녀들의 신음소리 3 무삭제|20230603
여자 배달부 무삭제,20230313,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,여자 배달부 무삭제|20230313
쓰리썸 : 여비서와 아내 무삭제,20230306,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,쓰리썸 : 여비서와 아내 무삭제|20230306
댄스 교습소에서 생긴 일,20230331,6000,1,1,1,0,한국,한국,(주)영진크리에이티브,1,2023,댄스 교습소에서 생긴 일|20230331
마사지에 빠진 예비신부,20230217,6000,1,1,1,0,한국,한국,(주)룬컴퍼니,1,2023,마사지에 빠진 예비신부|20230217
2대1 출장녀 무삭제,20230429,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,2대1 출장녀 무삭제|20230429
비밀 : 친구와 쓰리썸 무삭제,20230410,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,비밀 : 친구와 쓰리썸 무삭제|20230410
사위 사랑은 장모 3 무삭제,20230422,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,사위 사랑은 장모 3 무삭제|20230422
남자의 로망 : 2대1 무삭제,20230526,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,남자의 로망 : 2대1 무삭제|20230526
마누라 바꿔먹기 무삭제,20230424,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,마누라 바꿔먹기 무삭제|20230424
7일간의 스와핑 무삭제,20230513,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,7일간의 스와핑 무삭제|20230513
계부에 빠진 딸 무삭제,20230508,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,계부에 빠진 딸 무삭제|20230508
먹고 싶은 친구아내 무삭제,20230327,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,먹고 싶은 친구아내 무삭제|20230327
수리기사 : 여자도 고쳐요 무삭제,20230605,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,수리기사 : 여자도 고쳐요 무삭제|20230605
친구부부와 2대2 무삭제,20230515,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,친구부부와 2대2 무삭제|20230515
중고마켓 : 쎅파 구하기 무삭제,20230522,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,중고마켓 : 쎅파 구하기 무삭제|20230522
의상실 미스김,20230217,6000,1,1,1,0,한국,한국,영화사 산들바람,1,2023,의상실 미스김|20230217
여교사 : 나의 몽정시대,20230111,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,여교사 : 나의 몽정시대|20230111
직설적인 과외누나,20230324,1000,1,1,1,0,한국,한국,(주)케이알씨지,1,2023,직설적인 과외누나|20230324
여교사 : 나의 몽정시대 무삭제,20230516,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,여교사 : 나의 몽정시대 무삭제|20230516
입양딸 : 여자가 되다 무삭제,20230502,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,입양딸 : 여자가 되다 무삭제|20230502
여직원들 : 점심대신 떡 무삭제,20230411,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,여직원들 : 점심대신 떡 무삭제|20230411
이대일 : 그녀들의 희망사항 무삭제,20230610,6000,1,1,1,0,한국,한국,(주)영화사가을,1,2023,이대일 : 그녀들의 희망사항 무삭제|20230610
