"영화코드","영화명","개봉일","장르","관람등급","감독","제작사","배급사","국적"
"20162121","아이돌 섹스 스캔들","20160316","멜로/로맨스","청소년관람불가","야마삐","(주)케이알씨지","(주)케이알씨지","한국"
"20162122","여배우 섹스 스캔들","20160309","멜로/로맨스","청소년관람불가","야마삐","(주)케이알씨지","(주)케이알씨지","한국"
"20162024","등산의 목적","20160303","멜로/로맨스","청소년관람불가","조형운","주식회사 비엠미디어","주식회사 비엠미디어","한국"
"20157105","수상한 언니들","20160303","멜로/로맨스|코미디","청소년관람불가","노진수","(주)인터하우스","(주)투한미디어","한국"
"20126669","엘 꼰도르 빠사","20160227","드라마","전체관람가","송재용","그림형제","와이드 릴리즈(주)","한국"
"20158824","프랑스 영화처럼","20160114","드라마","15세이상관람가","신연식","(주) 루스이소니도스","(주)콘텐츠판다","한국"
"20156498","독도의 영웅들","20160218","다큐멘터리","12세이상관람가","권순도","퓨어웨이픽쳐스","퓨어웨이픽쳐스","한국"
"20152084","은어 무삭제판","20160226","드라마","청소년관람불가","박갑종","(주)갑종무비필름","(주)에스와이미디어","한국"
"20142401","파리의 한국남자","20160128","드라마","청소년관람불가","전수일","(주)동녘필름|주식회사 마운틴픽쳐스|네온프로덕션 ","(주)모멘텀엔터테인먼트","한국"
"20161871","공즉시색 무삭제","20160225","멜로/로맨스","청소년관람불가","김현빈","(주)영화사 사계절","(주)영화사 사계절","한국"
"20120422","거미의 땅","20160114","다큐멘터리","15세이상관람가","김동령|박경태","(주)시네마달","(주)시네마달","한국"
"20161904","용주골-무삭제판","20160216","드라마|멜로/로맨스","청소년관람불가","최우성","핵존슨","에이라인","한국"
"20161562","뜨거운 이웃","20160128","멜로/로맨스","청소년관람불가","이전","(주)케이알씨지","(주)케이알씨지","한국"
"20161883","악녀의 시","20160218","범죄|스릴러|코미디","15세이상관람가","무명","은막의 불여우","노바엔터테인먼트 ","한국"
"20161584","야한 누나들","20160211","멜로/로맨스","청소년관람불가","최우성","(주)에이블엔터테인먼트","(주)에이블엔터테인먼트","한국"
"20158911","개인교수: 심화학습","20160218","멜로/로맨스|드라마","청소년관람불가","정태령","영화사 인연","(주)소나무픽쳐스","한국"
"20150903","번개맨","20160211","판타지|가족","전체관람가","조근현","(주)드림써치C&C|한국교육방송공사 EBS","(주)키다리이엔티","한국"
"20161663","자유연애시대","20160204","멜로/로맨스|드라마","청소년관람불가","이전","(주)케이알씨지","(주)케이알씨지","한국"
"20161324","위험한 중독 무삭제판","20160113","드라마","청소년관람불가","최율권희","㈜리필름","(주)블루브릭","한국"
"20151153","짓2: 붉은 낙타 무삭제판","20160107","멜로/로맨스","청소년관람불가","노진수","㈜리필름","(주)드림팩트엔터테인먼트","한국"
"20150408","아줌마...줌마들의반란","20160107","드라마","청소년관람불가","김문옥","시네마테크 충무로|스마일픽쳐스","(주)영화사 조은","한국"
"20151154","맛2 (무삭제)","20160106","멜로/로맨스|드라마","청소년관람불가","경석호","영화사 인연","(주)소나무픽쳐스","한국"
"20167902","보통사람","20170323","드라마","15세이상관람가","김봉한","(주)트리니티엔터테인먼트|(주)영화사장춘","오퍼스픽쳐스(유)","한국"
"20161366","그래, 가족","20170215","코미디","12세이상관람가","마대윤","(주)청우필름|(주)26컴퍼니|(주)에이치에스이디","월트디즈니컴퍼니코리아 유한책임회사","한국"
"20174142","아이 캔 스피크","20170921","코미디","12세이상관람가","김현석","주식회사 영화사 시선","(주)마노엔터테인먼트|롯데쇼핑㈜롯데엔터테인먼트|(주)리틀빅픽쳐스","한국"
"20170402","강철비","20171214","액션|드라마","15세이상관람가","양우석","(주)와이웍스엔터테인먼트|(주)브이에이스튜디오","(주)넥스트엔터테인먼트월드(NEW)","한국"
"20174164","지렁이","20170420","드라마","청소년관람불가","윤학렬","미디어파크(주)","투썸업픽쳐스","한국"
"20151181","여교사","20170104","드라마","청소년관람불가","김태용","(주)외유내강","필라멘트픽쳐스","한국"
"20164403","원나잇스탠드","20170328","스릴러|드라마|멜로/로맨스","청소년관람불가","지길웅","(주)전망좋은 영화사","(주)전망좋은 영화사","한국"
"20177462","사슬-두여자의유혹-무삭제","20170608","스릴러|멜로/로맨스","청소년관람불가","박선욱","스마일컨텐츠","스마일컨텐츠","한국"
"20170930","사슬 - 두 여자의 유혹","20170411","스릴러|멜로/로맨스","청소년관람불가","박선욱","스마일컨텐츠","스마일컨텐츠","한국"
"20177743","50대 장모님의 불타는 사위사랑","20171204","기타","청소년관람불가","김두민","두리컴","두리컴","한국"
"20177055","유부녀 야썰","20171205","","청소년관람불가","최석원","(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","한국"
"20176924","달콤한 여선배 무삭제","20171127","","청소년관람불가","양석우","(주)영화사히트","(주)영화사히트","한국"
"20176339","여선생 무삭제","20171120","","청소년관람불가","김대성","(주)영화사히트","(주)영화사히트","한국"
"20178844","사촌누나와 동거-무삭제","20171221","기타","청소년관람불가","김순수","(주)이놀미디어","(주)이놀미디어","한국"
"20176659","철없는 아내의 이중생활","20171123","","청소년관람불가","최석원","(주)씨맥스커뮤니케이션즈","(주)씨맥스커뮤니케이션즈","한국"
"20176827","성 심청전","20171121","","청소년관람불가","이슬","골든타이드픽처스(주)","골든타이드픽처스(주)","한국"
"20172902","형님아내3감독판(아랫집 부인)","20170906","","청소년관람불가","이돌","이돌영화사","이돌영화사","한국"
"20170026","연상녀들 : 내가 가르쳐 줄게","20170905","기타","청소년관람불가","이리단","(주)영화사가을","(주)영화사가을","한국"
"20172471","처제의 속사정","20170907","","청소년관람불가","최석원","(주)씨맥스커뮤니케이션즈","(주)레드언더미디어","한국"
"20175128","내 학생의 엄마 2","20171109","멜로/로맨스","청소년관람불가","곽영근","(주)영화사가을","(주)영화사가을","한국"
"20168752","내 학생의 엄마 무삭제판","20170119","멜로/로맨스","청소년관람불가","기대호","(주)영화사 사계절|마법사필름","(주)영화사 사계절","한국"
"20172962","착한 형수 2","20171019","멜로/로맨스","청소년관람불가","곽영근","(주)영화사 사계절","(주)영화사 사계절","한국"
"20176621","착한 형수 무삭제","20170530","멜로/로맨스","청소년관람불가","기대호","(주)영화사 사계절","(주)영화사 사계절","한국"
"20173251","여자 하숙집 무삭제","20171017","멜로/로맨스","청소년관람불가","이리단","(주)영화사 사계절","(주)영화사 사계절","한국"
"20174562","여자 하숙집","20170511","멜로/로맨스|드라마","청소년관람불가","이리단","(주)영화사 사계절","(주)영화사 사계절","한국"
"20171850","내 여자의 엄마(무삭제)","20170821","멜로/로맨스","청소년관람불가","석영오","","(주)소나무픽쳐스","한국"
"20179695","내 여자의 엄마","20170222","멜로/로맨스|드라마","청소년관람불가","석영오","(주)소나무픽쳐스","(주)소나무픽쳐스","한국"
"20175384","성판17: 남자들의 17가지 성적 판타지","20171130","멜로/로맨스|코미디","청소년관람불가","송은주","주식회사 레드아이스","즐감","한국"
"20179001","미용실 : 특별한 서비스 무삭제","20170125","멜로/로맨스","청소년관람불가","이리단","대호필름|(주)영화사 사계절","(주)영화사 사계절","한국"
"20170365","동창회의 목적: 더 비기닝 (무삭제)","20170726","멜로/로맨스|드라마","청소년관람불가","정대만","(주)소나무픽쳐스","(주)소나무픽쳐스","한국"
"20160129","동창회의 목적: 더 비기닝","20170202","멜로/로맨스|드라마","청소년관람불가","정대만","블루스필름","(주)소나무픽쳐스","한국"
"20175403","어린 형수 3","20171128","멜로/로맨스","청소년관람불가","최우성","핵존슨","(주)컨텐츠 빌리지","한국"
"20170787","어린 형수 2 - 무삭제판","20170307","멜로/로맨스","청소년관람불가","김태수","너바나 필름","너바나 필름","한국"
"20170861","어린 형수 2","20170210","멜로/로맨스","청소년관람불가","김태수","너바나 필름","너바나 필름","한국"
"20178002","새엄마 무삭제","20170619","멜로/로맨스","청소년관람불가","김무원","(주)영화사 사계절","(주)영화사 사계절","한국"
"20177582","내 친구의 엄마 2: 그녀가 여자로 보일 때 (무삭제)","20171204","멜로/로맨스","청소년관람불가","이진","(주)소나무픽쳐스","(주)소나무픽쳐스","한국"
"20170687","내 친구의 엄마 2: 그녀가 여자로 보일 때","20170809","멜로/로맨스","청소년관람불가","이진","(주)소나무픽쳐스","(주)소나무픽쳐스","한국"
